GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
3100000US14380,14380,"Boone, NC Micro Area",11986,1878,23157,3356,41998,4222,71568,5027,143487,18048
3100000US14420,14420,"Borger, TX Micro Area",15355,3251,30686,3426,46293,3152,78305,5813,107806,11305
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",26312,394,52932,437,82750,545,126870,658,227125,2026
3100000US14500,14500,"Boulder, CO Metro Area",25482,1731,48116,1457,78146,2170,128243,2863,231120,9096
3100000US14540,14540,"Bowling Green, KY Metro Area",17542,1812,33585,1801,51697,1901,81804,2966,137200,7689
3100000US14580,14580,"Bozeman, MT Micro Area",24259,1178,41156,1916,59512,2508,87592,4738,153504,9901
3100000US14620,14620,"Bradford, PA Micro Area",17265,888,32051,1555,47735,2181,70618,3209,119351,9281
3100000US14660,14660,"Brainerd, MN Micro Area",20404,541,33967,1122,51450,1564,77571,2880,126860,6324
3100000US14700,14700,"Branson, MO Micro Area",18050,1798,29586,1598,45778,2026,65990,3152,112463,12930
3100000US14740,14740,"Bremerton-Silverdale, WA Metro Area",26626,929,47303,1462,68084,1380,102239,2077,166337,4654
3100000US14780,14780,"Brenham, TX Micro Area",16912,3480,33672,4797,55227,3452,87369,8375,192969,23374
3100000US14820,14820,"Brevard, NC Micro Area",18050,1859,31083,2989,50256,3390,75510,9468,128341,11677
3100000US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",31567,865,61833,1150,98638,1625,164759,2899,403649,18076
3100000US14940,14940,"Brigham City, UT Micro Area",27368,2630,44059,3188,59755,3310,84032,4952,132194,14339
3100000US15020,15020,"Brookhaven, MS Micro Area",13909,1978,28566,3940,49158,4263,75176,4933,126349,29166
3100000US15060,15060,"Brookings, OR Micro Area",15135,3140,28734,3227,44860,4658,72995,9174,129159,14089
3100000US15100,15100,"Brookings, SD Micro Area",16562,2332,32604,4055,50646,3405,75420,5345,124357,7909
3100000US15180,15180,"Brownsville-Harlingen, TX Metro Area",11385,287,21426,769,35547,1152,60269,1748,116077,5198
3100000US15220,15220,"Brownwood, TX Micro Area",13047,2257,28410,2891,47535,3128,70491,5432,122101,11305
3100000US15260,15260,"Brunswick, GA Metro Area",18887,1331,36086,1438,55383,2899,86882,3618,161537,9849
3100000US15340,15340,"Bucyrus, OH Micro Area",19269,1678,33902,1371,49732,2781,73193,3197,114768,7335
3100000US15380,15380,"Buffalo-Niagara Falls, NY Metro Area",18182,438,35276,555,56140,737,87421,950,148579,1822
