"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
" ","21","00300","KY"," ","Pennyrile Area Development District (South)",20950,0.001 
" ","21","00400","KY"," ","Barren River Area Development District (Outer)",73994,0.004 
" ","21","00600","KY"," ","Lake Cumberland Area Development District (West)",80822,0.004 
" ","21","00700","KY"," ","Lake Cumberland Area Development District (East)",38349,0.002 
" ","21","00800","KY"," ","Cumberland Valley Area Development District (North)",34436,0.002 
" ","21","00900","KY"," ","Cumberland Valley Area Development District (South)",28163,0.002 
" ","21","01000","KY"," ","Kentucky River Area Development District",110491,0.006 
" ","21","01100","KY"," ","Big Sandy Area Development District",149854,0.008 
" ","21","01200","KY"," ","Lincoln Trail Area Development District (East)",31966,0.002 
" ","21","01300","KY"," ","Lincoln Trail Area Development District (West)",46082,0.003 
" ","21","01400","KY"," ","Green River Area Development District (Southwest)",52378,0.003 
" ","21","02000","KY"," ","Bluegrass Area Development District (West)",21319,0.001 
" ","21","02100","KY"," ","Bluegrass Area Development District (South)",16858,0.001 
" ","21","02200","KY"," ","Bluegrass Area Development District (Southeast)",26881,0.001 
" ","21","02300","KY"," ","Bluegrass Area Development District (Northeast)",25633,0.001 
" ","21","02600","KY"," ","Northern Kentucky Area Development District (Southeast)",21460,0.001 
" ","21","02700","KY"," ","Buffalo Trace & Gateway Area Development Districts",67580,0.004 
" ","21","02800","KY"," ","FIVCO Area Development District",50699,0.003 
" ","22","00300","LA"," ","Coordinating & Development Corporation 4--Northwest Louisiana",63165,0.003 
" ","22","00500","LA"," ","North Delta Regional Planning & Development District 2--Northeast Louisiana",102754,0.006 
" ","22","00600","LA"," ","Kisatchie Delta Regional Planning & Development District 1",80878,0.004 
" ","22","00800","LA"," ","Imperial Calcasieu Regional Planning & Development District 1 (North)",25713,0.001 
" ","22","01000","LA"," ","Acadiana Regional Development District 1--St. Landry & Evangeline Parishes",33700,0.002 
" ","22","02000","LA"," ","South Central Planning & Development Commission 2--Lafourche & Assumption Parishes",23034,0.001 
" ","23","00100","ME"," ","Northeast Maine--Aroostook & Washington Counties",101255,0.005 
" ","23","00200","ME"," ","Northwest Maine--Oxford, Somerset, Franklin & Piscataquis Counties",155723,0.008 
" ","23","00500","ME"," ","Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties",167593,0.009 
" ","24","00100","MD"," ","Allegany & Garrett Counties--Cumberland City",29679,0.002 
" ","24","01300","MD"," ","Queen Annes, Talbot, Caroline, Dorchester & Kent Counties",52358,0.003 
" ","25","04800","MA"," ","Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns",10856,0.001 
" ","26","00100","MI"," ","Western Upper Peninsula",41950,0.002 
" ","26","00200","MI"," ","Eastern Upper Peninsula",35098,0.002 
" ","26","00300","MI"," ","Northeast Lower Peninsula",104707,0.006 
" ","26","00400","MI"," ","Northwest Lower Peninsula (East)",82592,0.004 
" ","26","00500","MI"," ","Northwest Lower Peninsula (West)",24420,0.001 
" ","26","00600","MI"," ","Newaygo, Mason, Oceana & Lake Counties",85462,0.005 
" ","26","01100","MI"," ","Ionia, Montcalm, Mecosta & Osceola Counties",23169,0.001 
" ","26","01200","MI"," ","Isabella, Gratiot & Clare Counties",30652,0.002 
" ","26","01300","MI"," ","Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties",111178,0.006 
" ","26","01600","MI"," ","Tuscola, Sanilac & Huron Counties",127652,0.007 
" ","27","00100","MN"," ","Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties",54271,0.003 
" ","27","00200","MN"," ","Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties",72046,0.004 
" ","27","00300","MN"," ","Itasca, Carlton (South), Cass & Aitkin Counties--Grand Rapids City",15771,0.001 
" ","27","00400","MN"," ","St. Louis (North), Koochiching, Lake & Cook Counties--Hibbing & Cloquet Cities",28769,0.002 
" ","27","00600","MN"," ","Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties",45025,0.002 
" ","27","00700","MN"," ","Crow Wing, Morrison, Todd & Wadena Counties",70831,0.004 
" ","27","00800","MN"," ","West Central Minnesota",44690,0.002 
" ","27","01900","MN"," ","Kandiyohi, McLeod, Meeker, Renville & Sibley Counties",38132,0.002 
" ","27","02000","MN"," ","Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties",50413,0.003 
" ","27","02100","MN"," ","Southwest Minnesota",74481,0.004 
" ","27","02200","MN"," ","Blue Earth, Nicollet & Waseca Counties--Mankato City",19025,0.001 
" ","28","00200","MS"," ","Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties",66887,0.004 
" ","28","00300","MS"," ","North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties",56883,0.003 
" ","28","00400","MS"," ","Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties",68061,0.004 
" ","28","00500","MS"," ","Three Rivers Region--Lee, Pontotoc & Union Counties--Tupelo City",28097,0.002 
" ","28","00600","MS"," ","Golden Triangle Region--Starkville, Columbus & West Point Cities",47859,0.003 
" ","28","00700","MS"," ","North Central Region",60298,0.003 
" ","28","00800","MS"," ","South Delta Region",14785,0.001 
" ","28","01400","MS"," ","East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties",97307,0.005 
" ","28","01500","MS"," ","East Central Region--Lauderdale, Newton & Clarke Counties--Meridian City",21832,0.001 
" ","28","01600","MS"," ","Southwest Region",51984,0.003 
" ","28","01700","MS"," ","South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties",66080,0.004 
" ","28","01800","MS"," ","South Region--Forrest, Lamar, Marion & Perry Counties--Hattiesburg City",25868,0.001 
" ","28","01900","MS"," ","South Region--Pearl River, Hancock, George & Stone Counties",41178,0.002 
" ","29","00100","MO"," ","Northwest Missouri",88253,0.005 
" ","29","00300","MO"," ","Northeast Missouri",39157,0.002 
" ","29","00400","MO"," ","Lincoln, Warren, Audrain, Pike & Montgomery Counties",30382,0.002 
" ","29","00700","MO"," ","Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties",44481,0.002 
" ","29","01200","MO"," ","Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties",124146,0.007 
" ","29","01300","MO"," ","Laclede, Polk, Benton, Dallas & Hickory Counties",28025,0.002 
" ","29","01400","MO"," ","Pulaski, Camden, Miller & Morgan Counties",89402,0.005 
" ","29","01500","MO"," ","Phelps, Crawford, Dent, Gasconade & Maries Counties",64184,0.003 
" ","29","02100","MO"," ","St. Francois, Washington, Perry & Ste. Genevieve Counties",62193,0.003 
" ","29","02300","MO"," ","Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties",80021,0.004 
" ","29","02400","MO"," ","Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties",62879,0.003 
" ","29","02500","MO"," ","Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties",86211,0.005 
" ","29","02700","MO"," ","Taney, Barry, Stone & McDonald Counties",35662,0.002 
" ","30","00100","MT"," ","Northwest Montana--Kalispell City",32821,0.002 
" ","30","00200","MT"," ","West Montana--Missoula City",85750,0.005 
" ","30","00300","MT"," ","Southwest Montana--Butte-Silver Bow & Helena City",42100,0.002 
" ","30","00400","MT"," ","North Central Montana--Great Falls City",66774,0.004 
" ","30","00500","MT"," ","South Central Montana--Bozeman City",28835,0.002 
" ","30","00600","MT"," ","East Montana (Outside Billings City)",101060,0.005 
" ","31","00100","NE"," ","North Central & Northwest Nebraska",71607,0.004 
" ","31","00200","NE"," ","Northeast Nebraska",74917,0.004 
" ","31","00300","NE"," ","Central Nebraska",24349,0.001 
" ","31","00400","NE"," ","Southwest Nebraska",41657,0.002 
" ","31","00500","NE"," ","South Central Nebraska",30097,0.002 
" ","31","00600","NE"," ","Southeast Nebraska",98902,0.005 
" ","32","00300","NV"," ","Rural Nevada",33247,0.002 
" ","33","00200","NH"," ","Lakes Region--Belknap, Carroll & Merrimack (Northern) Counties",41659.734,0.002 
" ","33","00300","NH"," ","Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties",5739.266,0 
" ","35","00300","NM"," ","North Central New Mexico",4592,0 
" ","35","00400","NM"," ","Eastern Plains New Mexico",32454,0.002 
" ","35","00900","NM"," ","Southwest New Mexico",36751,0.002 
" ","36","00200","NY"," ","Clinton, Franklin, Essex & Hamilton Counties",43394,0.002 
" ","36","00500","NY"," ","Jefferson & Lewis Counties",27220,0.001 
" ","36","01300","NY"," ","Livingston & Wyoming Counties",41188,0.002 
" ","36","02100","NY"," ","Columbia & Greene Counties",47967,0.003 
" ","36","02203","NY"," ","Chenango, Delaware & Broome (East) Counties",96007,0.005 
" ","36","02402","NY"," ","Steuben (North & West), Schuyler & Chemung (North) Counties",18479,0.001 
" ","36","02500","NY"," ","Cattaraugus & Allegany Counties",47736,0.003 
" ","36","02701","NY"," ","Sullivan & Ulster (West) Counties",75943,0.004 
" ","37","00100","NC"," ","Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",77824,0.004 
