"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","06103","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Placer County (East/High Country Region)--Auburn & Colfax Cities",111831,1 
"06","06501","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities",180218,1 
"06","06502","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities",131017,1 
"06","06503","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Southwest)--Temecula City",127500,1 
"06","06504","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Southwest)--Murrieta & Wildomar Cities",126833,1 
"06","06505","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities",175913,1 
"06","06506","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Southwest)--Hemet City & East Hemet",147650,1 
"06","06507","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities",144045,1 
"06","06508","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Northwest)--Moreno Valley City",182352,1 
"06","06509","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley",117862,1 
"06","06510","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Northwest)--Riverside City (East)",147162,1 
"06","06511","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Northwest)--Riverside City (West)",164560,1 
"06","06512","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens",100465,1 
"06","06513","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (West Central)--Corona (Northwest) & Norco Cities",145277,1 
"06","06514","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County (Northwest)--Jurupa Valley & Eastvale Cities",148672,1 
"06","06515","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities",150115,1 
"06","06701","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (North Central)--Citrus Heights City",105079,1 
"06","06702","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (Central)--Rancho Cordova City",110868,1 
"06","06703","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)",109370,1 
"06","06704","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park",119698,1 
"06","06705","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)",104243,1 
"06","06706","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda",116635,1 
"06","06707","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)",113698,1 
"06","06708","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",133058,1 
"06","06709","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)",137826,1 
"06","06710","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (Central)--Elk Grove City",152642,1 
"06","06711","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (South)--Galt, Isleton Cities & Delta Region",106501,1 
"06","06712","40900","CA","Sacramento--Roseville--Arden-Arcade, CA (Metro)","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)",109170,1 
"06","07101","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities",139447,1 
"06","07102","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (West Central)--Victorville & Adelanto Cities",161996,1 
"06","07103","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (West Central)--Hesperia City & Apple Valley Town",167046,1 
"06","07104","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",110315,1 
"06","07105","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Redlands & Yucaipa Cities",137401,1 
"06","07106","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",102661,1 
"06","07107","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--San Bernardino City (East)",106289,1 
"06","07108","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--San Bernardino City (West)",169385,1 
"06","07109","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Rialto City",108455,1 
"06","07110","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Fontana City (East)",106132,1 
"06","07111","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Rancho Cucamonga City",165176,1 
"06","07112","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Upland & Montclair Cities",120986,1 
"06","07113","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Ontario City",167275,1 
"06","07114","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Chino & Chino Hills Cities",155212,1 
"06","07115","40140","CA","Riverside-San Bernardino-Ontario, CA (Metro)","San Bernardino County (Southwest)--Fontana City (West)",117434,1 
"06","07301","41740","CA","San Diego-Carlsbad, CA (Metro)","San Diego County (Northwest)--Oceanside City & Camp Pendleton",190634,1 
"06","07302","41740","CA","San Diego-Carlsbad, CA (Metro)","San Diego County (North & East)--Fallbrook, Alpine & Valley Center",116701,1 
"06","07303","41740","CA","San Diego-Carlsbad, CA (Metro)","San Diego County (Northwest)--Vista City",106971,1 
"06","07304","41740","CA","San Diego-Carlsbad, CA (Metro)","San Diego County (Northwest)--Carlsbad City",114712,1 
